Threshold,TAR,FAR,FRR
0.05,0.0,0.0,1.0
0.060000000000000005,0.0303,0.0,0.9697
0.07,0.1212,0.0,0.8788
0.08000000000000002,0.2424,0.0,0.7576
0.09000000000000001,0.2727,0.0,0.7273
0.1,0.3939,0.0,0.6061
0.11000000000000001,0.3939,0.0,0.6061
0.12000000000000001,0.4848,0.0,0.5152
0.13,0.5152,0.0,0.4848
0.14,0.6061,0.0,0.3939
0.15000000000000002,0.7576,0.0,0.2424
0.16000000000000003,0.7879,0.0,0.2121
0.17000000000000004,0.8485,0.0,0.1515
0.18000000000000005,0.8485,0.0,0.1515
0.19,0.8788,0.0,0.1212
0.2,0.8788,0.0,0.1212
0.21000000000000002,0.8788,0.0,0.1212
0.22000000000000003,0.9394,0.0,0.0606
0.23000000000000004,0.9697,0.0,0.0303
0.24000000000000005,0.9697,0.0,0.0303
0.25000000000000006,0.9697,0.0,0.0303
0.26000000000000006,0.9697,0.0,0.0303
0.27,1.0,0.0,0.0
0.28,1.0,0.0,0.0
0.29000000000000004,1.0,0.0,0.0
0.30000000000000004,1.0,0.0,0.0
0.31000000000000005,1.0,0.0,0.0
0.32000000000000006,1.0,0.0,0.0
0.33,1.0,0.0,0.0
0.34,1.0,0.0,0.0
0.35000000000000003,1.0,0.0,0.0
0.36000000000000004,1.0,0.0,0.0
0.37000000000000005,1.0,0.0,0.0
0.38000000000000006,1.0,0.0,0.0
0.39000000000000007,1.0,0.0,0.0
0.4000000000000001,1.0,0.0,0.0
0.4100000000000001,1.0,0.0,0.0
0.42000000000000004,1.0,0.0,0.0
0.43000000000000005,1.0,0.0,0.0
0.44000000000000006,1.0,0.0,0.0
0.45000000000000007,1.0,0.0,0.0
0.4600000000000001,1.0,0.0,0.0
0.4700000000000001,1.0,0.0,0.0
0.4800000000000001,1.0,0.0,0.0
0.49000000000000005,1.0,0.0,0.0
0.5000000000000001,1.0,0.0,0.0
0.5100000000000001,1.0,0.0,0.0
0.5200000000000001,1.0,0.0,0.0
0.5300000000000001,1.0,0.0,0.0
0.5400000000000001,1.0,0.0,0.0
0.5500000000000002,1.0,0.0,0.0
0.5600000000000002,1.0,0.0,0.0
0.5700000000000002,1.0,0.0,0.0
0.5800000000000002,1.0,0.0,0.0
0.5900000000000002,1.0,0.0,0.0
0.6000000000000002,1.0,0.0,0.0
0.6100000000000001,1.0,0.0,0.0
0.6200000000000001,1.0,0.0,0.0
0.6300000000000001,1.0,0.0,0.0
0.6400000000000001,1.0,0.0,0.0
0.6500000000000001,1.0,0.0,0.0
0.6600000000000001,1.0,0.0,0.0
0.6700000000000002,1.0,0.0,0.0
0.6800000000000002,1.0,0.0,0.0
0.6900000000000002,1.0,0.0,0.0
0.7000000000000002,1.0,0.0,0.0
0.7100000000000002,1.0,0.0,0.0
0.7200000000000002,1.0,0.0,0.0
0.7300000000000002,1.0,0.0,0.0
0.7400000000000002,1.0,0.0,0.0
0.7500000000000002,1.0,0.0,0.0
0.7600000000000002,1.0,0.0,0.0
0.7700000000000002,1.0,0.0,0.0
0.7800000000000001,1.0,0.0,0.0
0.7900000000000001,1.0,0.0,0.0
0.8000000000000002,1.0,0.0,0.0
0.8100000000000002,1.0,0.0,0.0
0.8200000000000002,1.0,0.0,0.0
0.8300000000000002,1.0,0.0,0.0
0.8400000000000002,1.0,0.0,0.0
0.8500000000000002,1.0,0.0,0.0
0.8600000000000002,1.0,0.0,0.0
0.8700000000000002,1.0,0.0,0.0
0.8800000000000002,1.0,0.0,0.0
0.8900000000000002,1.0,0.0,0.0
0.9000000000000002,1.0,0.0,0.0
0.9100000000000003,1.0,0.0,0.0
0.9200000000000003,1.0,0.0,0.0
0.9300000000000002,1.0,0.0,0.0
0.9400000000000002,1.0,0.0,0.0
